UMAP_1,UMAP_2,dataset_id,tissue_type,FracPixInImgBG,FracImgOfCells,Otsu:CD11c,Otsu:CD21,Otsu:CD4,Otsu:CD8,Otsu:Ki67,M/SD:CD11c,M/SD:CD21,M/SD:CD4,M/SD:CD8,M/SD:Ki67,meanInt:CD11c,meanInt:CD21,meanInt:CD4,meanInt:CD8,meanInt:Ki67
6.4900208,14.92899,c95d9373d698faf60a66ffdc27499fe1,lymph_nodes,0.20023497386198333,0.7406876476376497,4.220438699701732,28.87468163491153,6.625869411735987,10.221189657902322,112.65933002471976,0.8124305802570516,0.3594095633537952,0.7967135951525887,0.5959681431515751,0.206453309901273,173192241,174228633,322762210,348841547,142687269
5.6125503,14.017585,f0c58e670ceb445e6ab02c6a20c83aee,spleen,0.1036344399510162,0.7943553257542137,31.800830548760075,6.98560166947426,31.235902859880746,28.736396348166245,29.59255702383662,0.3056410667847876,0.6895180609774826,0.2987425314306616,0.5043652857088237,0.318373930669384,160049268,72310591,234167428,82701240,244173983
6.4286075,16.024506,4e7809adca9c32cebd023acaee306d85,small_intestine,0.39996742825004794,0.48294405612207386,26.7815887049233,66.05756067429262,10.642668479494322,19.70103907116251,74.44073609820639,0.3827724802582015,0.2645736167228151,0.5705280445794593,0.3900324816255361,0.2525358662220796,92135118,100681022,94947741,146220677,90935314
2.9341104,17.003347,a49e5e08ad4de6ad215e3b298cc025ee,small_intestine,0.7734757519421898,0.21792954017215704,728.7032808191166,4424.0343930134095,341.5865340842807,369.0039774410239,10.634352944210724,0.0586797813478913,0.0545199262977983,0.0905761106614774,0.0866363617866423,0.5741155349268126,628971641,587060312,922340506,1085610643,75035238
3.3569071,16.188705,99f06bad15cea33cdebbfbbbb47c55e5,large_intestine,0.49568812010486607,0.3580763565121238,75.46661849618006,70.46251138295837,48.84298942436624,61.45247470470117,196.2401556152936,0.1847747214357252,0.1994579174124581,0.2313156575558783,0.2040444945315691,0.1149442678189999,381342531,550470501,764802028,558952217,630659596
7.4427533,16.395311,c1bf80acd22b81337bb062a48f1b70d5,large_intestine,0.4940693494228751,0.1701078279118573,20.50974295667001,75.56460895342826,8.706846828373703,23.91429531208176,114.80779926115288,0.4311946749809022,0.4412210208211911,0.4973979528399974,0.4822400835224094,0.2584170632547863,51879381,52451874,52317917,47873332,67706925
7.7477055,15.801377,5ed3910ba1d3947b6d2ea3788af223b1,large_intestine,0.49350691566971694,0.19891197662542923,31.676348319884863,7.932403587540889,5.632196130601517,11.227379709909352,34.051086175277064,0.3079450073851946,0.5631339084979748,0.7774962062544365,0.5566235179556343,0.328015219492402,74786653,67335505,50096450,50158392,98709809
5.9161377,15.571381,62cf328e12477c27a6e47f936eb7324e,lymph_nodes,0.29633891821203195,0.4994095833817162,1028.2420121162895,105.1488854713668,10.90447996322309,21.76847832664961,307.69792370317526,0.4265346828516217,0.1806712417228422,0.6172002028225138,0.3591607667345359,0.1279701749460522,123544605,160799992,239214835,248873002,113406361
6.514787,13.611315,077f7862f6306055899374c7807a30c3,lymph_nodes,0.41741852156697307,0.6458418144816842,16.126052157471896,8.665687681088896,9.583272458607254,61.93027640095608,10.411926687101468,0.4608963263193188,0.6546856710100529,0.5853642549505366,0.2385390029973145,0.5898789024710875,233958088,187930592,222859188,357264209,193386033
2.817634,16.427513,bd72975f798d0067c6a48de0f92474d9,large_intestine,0.5785206985955889,0.28121038533519244,354.14774039917967,710.1398067824773,316.3789484760709,891.996732371073,876.2413098750129,0.0813605540526011,0.062644729061638,0.0927000406268459,0.0545053861384551,0.0543188660669362,367674153,488495031,646058862,1003886424,668942132
7.438199,16.955713,b22e6449e3de171fdfaefc4a7b5b2aed,large_intestine,0.5276735772820245,0.2571190180983432,75.943035529926,46.4480326645424,57.22727613099734,9.111928460215816,43.26852359192889,0.3759367382077678,0.370792560147429,0.3725369015275571,0.469500274020808,0.479968641315896,59523863,52218636,54153534,51909027,61834212
6.2435265,17.653444,4c12735161018db54e2ef9588bf40987,small_intestine,0.6719714589162062,0.236972625326576,13.77192629738536,101.98243431705392,13.287462950362892,35.7998391654412,89.62060086935377,0.4993403484283683,0.2218696258281657,0.4632758951975676,0.2820634633216595,0.2171784071689236,68361914,71843996,70566366,109341602,130390139
5.994008,15.714097,636f55adb5b346fc8f576c5b1ccbfc7d,lymph_nodes,0.4124127960116818,0.5024936685465128,417.4475407391934,84.37304645900196,10.609927606987076,17.153561446677912,570.5776046420235,0.4106286164999511,0.1945093935547443,0.5919298039084084,0.4242092059125581,0.0799670235462516,202098276,343235518,349650792,493511285,164447222
2.593956,16.468178,9fd74bd8a46331280751fb1c187650fd,small_intestine,0.6413524051815762,0.252116635140662,350.13667307071165,182.6771903074944,118.8226857717109,138.2567709194862,2125.2595370569416,0.0890334517673017,0.1332738236276421,0.1446220039469087,0.1433967285625582,0.0364106600300918,1742478772,1540964209,1398497898,2091351066,706384556
3.5264058,15.354023,e69fb303e035192a0ee38a34e4b25024,lymph_nodes,0.5980483205918401,0.40549416229778223,28.4651814787194,13.344976764116405,11.385816591026868,15.692126298370097,15.475258779668692,0.3781599889345578,0.5542501256638764,0.5042050197042339,0.4613831519736698,0.5218376925180895,245882958,685903742,243862997,477143208,996792938
6.586176,13.85392,a6ccc344f88a164766d1251053173009,lymph_nodes,0.320417267480613,0.6765016368595054,16.20081995123941,6.800875328925556,9.3901728317248,14.5120033199229,14.41055847270557,0.4938299112196928,0.767626323730617,0.5821495300128774,0.4969413079224142,0.5235406990917693,91595154,158850132,216993171,291812932,325573237
4.986402,17.290869,63d000170e475af142f6e8673de5eb0f,large_intestine,0.4767022352817714,0.19217498163500893,59.57786726259627,168.14391122341098,32.435542416270714,134.30807564626957,178.14280702804825,0.2758670152669126,0.2461967902542712,0.253721481828957,0.1489383339918204,0.1790214770386482,109812446,80696503,112187618,156932360,116020248
7.806481,15.683106,e214a8d4074404ce95c55308381fe3e4,large_intestine,0.36046660827354904,0.11645797930241582,40.61390385273645,5.730523916613721,8.438206248850769,7.149616354864598,101.12717082593774,0.2656784968443327,0.6543777356316045,0.7024225498009031,0.6432608117833901,0.2051419823045092,57724160,53445172,62198500,49779519,74498972
4.717175,17.370306,35454f56fd4d7b3c4b80921a9c7e6b18,small_intestine,0.5801975822030888,0.19922850810583861,101.73639216548705,356.4899481626396,42.10449790169986,125.91869722031718,224.4459430942453,0.2393535482768255,0.1347452512497,0.2832452109687176,0.1377211634317345,0.1880274342132897,123547570,93880628,113289490,325358649,100748860
5.3879266,17.087152,4055d3ba0aca705b8ede2700ec1e2ded,small_intestine,0.5223158547733586,0.23136418565147993,90.48713343441824,76.65195513492675,22.387626721319133,50.35064262210616,68.66189652622086,0.2160768572627886,0.2584498552816989,0.3556969244158236,0.2306896542925765,0.1907752001072303,88068242,110927887,84616835,96123962,52163009
